,Complexity,PySR equation,Parameterized equation,Parameterization,"Parameters: (best-fit, +1, -1)",Covariance,Correlation,"Parameterized equation, unscaled",RMSE,R2,NDF,Chi2 (before ROF),Chi2,Chi2/NDF (before ROF),Chi2/NDF,p-value (before ROF),p-value
10,11,23.3*gauss(3.7*x0)*tanh(x0) + 0.101,a1 + a3*gauss(a2*x0)*tanh(x0),"{'a1': 0.101, 'a2': 3.7, 'a3': 23.3}","{'a1': (0.101, 0, 0), 'a2': (3.69972, 0.203, -0.203), 'a3': (23.3188, 3.23, -3.23)}","{'a2, a3': 0.4872585724370911, 'a2, a2': 0.04105411260081572, 'a3, a3': 10.455540369032775}","{'a2, a3': 0.7431}",164.796*(a1 + a3*gauss(a2*((x0 - 12.5) * 0.00210526))*tanh(((x0 - 12.5) * 0.00210526))),98.02,0.7937,18,374.1,374.1,20.78,20.78,2.252e-68,2.255e-68
11,12,23.8*x0*gauss(x0*(x0 - 4.13)) + 0.0872,a2 + a3*x0*gauss(x0*(a1 + x0)),"{'a1': -4.13, 'a2': 0.0872, 'a3': 23.8}","{'a1': (-4.14994, 0.171, -0.171), 'a2': (0.0872, 0, 0), 'a3': (24.3991, 3.21, -3.21)}","{'a1, a3': -0.4011883357672433, 'a1, a1': 0.02935889720666659, 'a3, a3': 10.28912788954329}","{'a1, a3': -0.7309}",164.796*(a2 + a3*((x0 - 12.5) * 0.00210526)*gauss(((x0 - 12.5) * 0.00210526)*(a1 + ((x0 - 12.5) * 0.00210526)))),99.26,0.7884,18,361.4,360.7,20.08,20.04,9.801e-66,1.367e-65
12,13,23.8*gauss(x0*(x0 - 4.08))*tanh(x0) + 0.0871,a2 + a3*gauss(x0*(a1 + x0))*tanh(x0),"{'a1': -4.08, 'a2': 0.0871, 'a3': 23.8}","{'a1': (-4.1065, 0.173, -0.173), 'a2': (0.0871, 0, 0), 'a3': (24.3929, 3.21, -3.21)}","{'a1, a3': -0.40626319063172056, 'a1, a1': 0.030082893812041454, 'a3, a3': 10.289660354170426}","{'a1, a3': -0.7316}",164.796*(a2 + a3*gauss(((x0 - 12.5) * 0.00210526)*(a1 + ((x0 - 12.5) * 0.00210526)))*tanh(((x0 - 12.5) * 0.00210526))),99.26,0.7885,18,361.3,360.7,20.07,20.04,1.015e-65,1.3889999999999998e-65
13,14,276.0*x0**2*gauss(5.3*x0) + 0.129,a1 + a3*x0**2*gauss(a2*x0),"{'a1': 0.129, 'a2': 5.3, 'a3': 276.0}","{'a1': (0.129, 0, 0), 'a2': (5.24767, 0.216, -0.216), 'a3': (266.419, 39.4, -39.4)}","{'a2, a3': 6.963559580470911, 'a2, a2': 0.046632482818286546, 'a3, a3': 1551.6445788927706}","{'a2, a3': 0.8182}",164.796*(a1 + a3*((x0 - 12.5) * 0.00210526)**2*gauss(a2*((x0 - 12.5) * 0.00210526))),67.97,0.9008,18,312.2,311.4,17.35,17.3,1.4609999999999998e-55,2.143e-55
14,15,32.8*x0*gauss(-4.16*x0)*tanh(9.58*x0) + 0.115,a2 + a4*x0*gauss(a1*x0)*tanh(a3*x0),"{'a1': -4.16, 'a2': 0.115, 'a3': 9.58, 'a4': 32.8}","{'a1': (-4.21353, 0.192, -0.192), 'a2': (0.115, 0, 0), 'a3': (9.58, 0, 0), 'a4': (34.2102, 4.27, -4.27)}","{'a1, a4': -0.6416464471766923, 'a1, a1': 0.03678536292764734, 'a4, a4': 18.21270324041777}","{'a1, a4': -0.7826}",164.796*(a2 + a4*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526))*tanh(a3*((x0 - 12.5) * 0.00210526))),74.04,0.8823,18,269.3,267.9,14.96,14.88,9.628999999999999e-47,1.8249999999999998e-46
15,17,32.8*x0*gauss(x0*(x0 - 4.47))*tanh(9.55*x0) + 0.107,a2 + a4*x0*gauss(x0*(a1 + x0))*tanh(a3*x0),"{'a1': -4.47, 'a2': 0.107, 'a3': 9.55, 'a4': 32.8}","{'a1': (-4.57364, 0.164, -0.164), 'a2': (0.107, 0, 0), 'a3': (9.55, 0, 0), 'a4': (35.5794, 4.09, -4.09)}","{'a1, a4': -0.5197029357615864, 'a1, a1': 0.026806771817266546, 'a4, a4': 16.73751870683508}","{'a1, a4': -0.7748}",164.796*(a2 + a4*((x0 - 12.5) * 0.00210526)*gauss(((x0 - 12.5) * 0.00210526)*(a1 + ((x0 - 12.5) * 0.00210526)))*tanh(a3*((x0 - 12.5) * 0.00210526))),74.51,0.8808,18,245.4,240.0,13.64,13.33,6.89e-42,8.772000000000001e-41
16,18,(296.0*x0**2 - 0.95)*gauss(-5.88*x0) + gauss(1.72*x0),(a2 + a4*x0**2)*gauss(a1*x0) + gauss(a3*x0),"{'a1': -5.88, 'a2': -0.95, 'a3': 1.72, 'a4': 296.0}","{'a1': (-5.88415, 0.2, -0.2), 'a2': (-0.951513, 0.0517, -0.0517), 'a3': (1.72352, 0.0815, -0.0815), 'a4': (296.816, 31.8, -31.8)}","{'a1, a2': 0.001358738686085326, 'a1, a3': 0.002392240533753859, 'a1, a4': -4.821726365958421, 'a2, a3': 4.184992307981176e-05, 'a2, a4': -0.3430854341608032, 'a3, a4': -0.14611265771480253, 'a1, a1': 0.039852692178434554, 'a2, a2': 0.0026721348659727185, 'a3, a3': 0.0066353130493951576, 'a4, a4': 1009.314739792375}","{'a1, a2': 0.1314, 'a1, a3': 0.1468, 'a1, a4': -0.7581, 'a2, a3': 0.009932, 'a2, a4': -0.2087, 'a3, a4': -0.05638}",164.796*((a2 + a4*((x0 - 12.5) * 0.00210526)**2)*gauss(a1*((x0 - 12.5) * 0.00210526)) + gauss(a3*((x0 - 12.5) * 0.00210526))),56.46,0.9315,16,117.7,117.7,7.355,7.354,1.53e-17,1.546e-17
17,20,(x0*(305.0*x0 - 1.74) - 0.951)*gauss(-5.9*x0) + gauss(1.73*x0),(a3 + x0*(a2 + a5*x0))*gauss(a1*x0) + gauss(a4*x0),"{'a1': -5.9, 'a2': -1.74, 'a3': -0.951, 'a4': 1.73, 'a5': 305.0}","{'a1': (-5.93305, 0.193, -0.193), 'a2': (-1.74, 0, 0), 'a3': (-0.949194, 0.0506, -0.0506), 'a4': (1.72226, 0.0795, -0.0795), 'a5': (315.024, 31.4, -31.4)}","{'a1, a3': 0.0012720509708813409, 'a1, a4': 0.0022015376507341497, 'a1, a5': -4.554023119646412, 'a3, a4': 3.863236767342754e-05, 'a3, a5': -0.33180893448387044, 'a4, a5': -0.13504295742916245, 'a1, a1': 0.037061431174509975, 'a3, a3': 0.0025572210830953654, 'a4, a4': 0.006315394091461188, 'a5, a5': 984.7532882618256}","{'a1, a3': 0.1303, 'a1, a4': 0.1435, 'a1, a5': -0.7515, 'a3, a4': 0.009604, 'a3, a5': -0.2088, 'a4, a5': -0.0541}",164.796*((a3 + ((x0 - 12.5) * 0.00210526)*(a2 + a5*((x0 - 12.5) * 0.00210526)))*gauss(a1*((x0 - 12.5) * 0.00210526)) + gauss(a4*((x0 - 12.5) * 0.00210526))),55.05,0.9349,16,113.5,112.5,7.095,7.034,9.608e-17,1.471e-16
18,22,(x0*(311.0*x0 - 1.62) - 0.961)*gauss(x0*(x0 + 5.65)) + gauss(-1.73*x0),(a3 + x0*(a2 + a5*x0))*gauss(x0*(a4 + x0)) + gauss(a1*x0),"{'a1': -1.73, 'a2': -1.62, 'a3': -0.961, 'a4': 5.65, 'a5': 311.0}","{'a1': (-1.71724, 0.0777, -0.0777), 'a2': (-1.62, 0, 0), 'a3': (-0.948158, 0.0499, -0.0499), 'a4': (5.63102, 0.196, -0.196), 'a5': (306.791, 30.3, -30.3)}","{'a1, a3': -3.307949862370362e-05, 'a1, a4': 0.001965653103544322, 'a1, a5': 0.11017239570788573, 'a3, a4': -0.0012919869183709034, 'a3, a5': -0.3189537669434852, 'a4, a5': 4.493143296107543, 'a1, a1': 0.006042028320034161, 'a3, a3': 0.002492102085339699, 'a4, a4': 0.03848694720921967, 'a5, a5': 915.3872876282832}","{'a1, a3': -0.008532, 'a1, a4': 0.1291, 'a1, a5': 0.0468, 'a3, a4': -0.1321, 'a3, a5': -0.211, 'a4, a5': 0.7566}",164.796*((a3 + ((x0 - 12.5) * 0.00210526)*(a2 + a5*((x0 - 12.5) * 0.00210526)))*gauss(((x0 - 12.5) * 0.00210526)*(a4 + ((x0 - 12.5) * 0.00210526))) + gauss(a1*((x0 - 12.5) * 0.00210526))),53.45,0.9387,16,110.5,109.8,6.905,6.861,3.632e-16,4.952e-16
19,24,9.97*x0*gauss(x0 + x0 + x0) + 3.51*gauss(2.7 - 15.5*x0) + 0.0813,a2 + a4*gauss(a1*x0 + a3) + a5*x0*gauss(3*x0),"{'a1': -15.5, 'a2': 0.0813, 'a3': 2.7, 'a4': 3.51, 'a5': 9.97}","{'a1': (-15.7101, 0.729, -0.729), 'a2': (0.0818629, 0.00943, -0.00943), 'a3': (2.73635, 0.125, -0.125), 'a4': (3.62418, 0.181, -0.181), 'a5': (9.97479, 0.438, -0.438)}","{'a1, a2': 0.0002580687983396584, 'a1, a3': -0.08796670217153323, 'a1, a4': -0.05971170602055764, 'a1, a5': -0.13332902930119728, 'a2, a3': -2.6378046240731032e-05, 'a2, a4': 0.00010988057298370571, 'a2, a5': -0.0014687048926676296, 'a3, a4': 0.010272927590888221, 'a3, a5': 0.020936898697029853, 'a4, a5': -0.01551298712857567, 'a1, a1': 0.5317979337001922, 'a2, a2': 8.892791923303169e-05, 'a3, a3': 0.015619281642037316, 'a4, a4': 0.03270606723490801, 'a5, a5': 0.1916348232599745}","{'a1, a2': 0.03754, 'a1, a3': -0.9653, 'a1, a4': -0.4525, 'a1, a5': -0.4176, 'a2, a3': -0.02238, 'a2, a4': 0.06438, 'a2, a5': -0.3556, 'a3, a4': 0.4541, 'a3, a5': 0.3824, 'a4, a5': -0.1957}",164.796*(a2 + a4*gauss(a1*((x0 - 12.5) * 0.00210526) + a3) + a5*((x0 - 12.5) * 0.00210526)*gauss(3*((x0 - 12.5) * 0.00210526))),13.09,0.9963,15,18.57,18.06,1.238,1.204,0.2339,0.2597
20,26,9.97*x0*gauss(x0 + x0 + x0) + 3.59*gauss(2.7 - 15.5*x0) + 0.0813,a2 + a4*gauss(a1*x0 + a3) + a5*x0*gauss(3*x0),"{'a1': -15.5, 'a2': 0.0813, 'a3': 2.7, 'a4': 3.59, 'a5': 9.97}","{'a1': (-15.7101, 0.729, -0.729), 'a2': (0.0818629, 0.00943, -0.00943), 'a3': (2.73635, 0.125, -0.125), 'a4': (3.62418, 0.181, -0.181), 'a5': (9.97479, 0.438, -0.438)}","{'a1, a2': 0.00025806879745395646, 'a1, a3': -0.08796670204936519, 'a1, a4': -0.05971170593667058, 'a1, a5': -0.13332902926009663, 'a2, a3': -2.6378046071006507e-05, 'a2, a4': 0.00010988057311525785, 'a2, a5': -0.0014687048927142705, 'a3, a4': 0.01027292757740066, 'a3, a5': 0.020936898689562666, 'a4, a5': -0.015512987140457749, 'a1, a1': 0.5317979329381102, 'a2, a2': 8.89279192350535e-05, 'a3, a3': 0.015619281622074634, 'a4, a4': 0.03270606721340964, 'a5, a5': 0.1916348233227214}","{'a1, a2': 0.03754, 'a1, a3': -0.9653, 'a1, a4': -0.4525, 'a1, a5': -0.4176, 'a2, a3': -0.02238, 'a2, a4': 0.06438, 'a2, a5': -0.3556, 'a3, a4': 0.4541, 'a3, a5': 0.3824, 'a4, a5': -0.1957}",164.796*(a2 + a4*gauss(a1*((x0 - 12.5) * 0.00210526) + a3) + a5*((x0 - 12.5) * 0.00210526)*gauss(3*((x0 - 12.5) * 0.00210526))),13.09,0.9963,15,18.16,18.06,1.211,1.204,0.2542,0.2597
21,28,21.3*x0*gauss(2.46 - 15.2*x0) + 10.5*gauss(x0 + x0 + x0)*tanh(x0) + 0.085,a2 + a4*gauss(3*x0)*tanh(x0) + a5*x0*gauss(a1*x0 + a3),"{'a1': -15.2, 'a2': 0.085, 'a3': 2.46, 'a4': 10.5, 'a5': 21.3}","{'a1': (-15.422, 0.789, -0.789), 'a2': (0.0847897, 0.00919, -0.00919), 'a3': (2.49001, 0.146, -0.146), 'a4': (10.5105, 0.45, -0.45), 'a5': (21.3584, 1.07, -1.07)}","{'a1, a2': 0.0005034362218010011, 'a1, a3': -0.11176638509268574, 'a1, a4': -0.15491335947282706, 'a1, a5': -0.3478035947729082, 'a2, a3': -7.71366181413733e-05, 'a2, a4': -0.001484046672751355, 'a2, a5': 0.0004236620031573899, 'a3, a4': 0.02661383948716382, 'a3, a5': 0.05512457033987832, 'a4, a5': -0.09067798078770183, 'a1, a1': 0.6223571138655177, 'a2, a2': 8.453748909705521e-05, 'a3, a3': 0.021244075955464597, 'a4, a4': 0.20279562127904655, 'a5, a5': 1.15062011938191}","{'a1, a2': 0.06943, 'a1, a3': -0.9702, 'a1, a4': -0.4363, 'a1, a5': -0.412, 'a2, a3': -0.05749, 'a2, a4': -0.3589, 'a2, a5': 0.04308, 'a3, a4': 0.4051, 'a3, a5': 0.3529, 'a4, a5': -0.1883}",164.796*(a2 + a4*gauss(3*((x0 - 12.5) * 0.00210526))*tanh(((x0 - 12.5) * 0.00210526)) + a5*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526) + a3)),11.62,0.9971,15,17.51,17.26,1.167,1.151,0.2895,0.3035
22,29,21.3*x0*gauss(2.46 - 15.2*x0) + 10.5*x0*gauss(3*x0 + 0.0224) + 0.085,a3 + a5*x0*gauss(a2 + 3*x0) + a6*x0*gauss(a1*x0 + a4),"{'a1': -15.2, 'a2': 0.0224, 'a3': 0.085, 'a4': 2.46, 'a5': 10.5, 'a6': 21.3}","{'a1': (-15.3006, 0.769, -0.769), 'a2': (0.0224, 0, 0), 'a3': (0.0834143, 0.00914, -0.00914), 'a4': (2.47001, 0.142, -0.142), 'a5': (10.5191, 0.449, -0.449), 'a6': (21.4103, 1.06, -1.06)}","{'a1, a3': 0.0004972005534260852, 'a1, a4': -0.10641718524968845, 'a1, a5': -0.1498686299884518, 'a1, a6': -0.33518490313816723, 'a3, a4': -7.629183317514878e-05, 'a3, a5': -0.0014928949935860479, 'a3, a6': 0.0004207287772246051, 'a4, a5': 0.02577417933903252, 'a4, a6': 0.053109368677595185, 'a5, a6': -0.08863852757720175, 'a1, a1': 0.5915205912477756, 'a3, a3': 8.357418723538808e-05, 'a4, a4': 0.02027869261288221, 'a5, a5': 0.2013132916929035, 'a6, a6': 1.1199041228547506}","{'a1, a3': 0.07074, 'a1, a4': -0.9745, 'a1, a5': -0.434, 'a1, a6': -0.4112, 'a3, a4': -0.05878, 'a3, a5': -0.3638, 'a3, a6': 0.04343, 'a4, a5': 0.4043, 'a4, a6': 0.3528, 'a5, a6': -0.1862}",164.796*(a3 + a5*((x0 - 12.5) * 0.00210526)*gauss(a2 + 3*((x0 - 12.5) * 0.00210526)) + a6*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526) + a4)),12.03,0.9969,15,17.1,16.98,1.14,1.132,0.3131,0.32
23,30,21.3*x0*gauss(2.46 - 15.2*x0) + 10.5*x0*gauss(3*x0 + 0.0224) + 0.0848,a3 + a5*x0*gauss(a2 + 3*x0) + a6*x0*gauss(a1*x0 + a4),"{'a1': -15.2, 'a2': 0.0224, 'a3': 0.0848, 'a4': 2.46, 'a5': 10.5, 'a6': 21.3}","{'a1': (-15.3006, 0.769, -0.769), 'a2': (0.0224, 0, 0), 'a3': (0.0834143, 0.00914, -0.00914), 'a4': (2.47001, 0.142, -0.142), 'a5': (10.5191, 0.449, -0.449), 'a6': (21.4103, 1.06, -1.06)}","{'a1, a3': 0.0004972005531937404, 'a1, a4': -0.10641718524783202, 'a1, a5': -0.14986862998055342, 'a1, a6': -0.3351849031510033, 'a3, a4': -7.629183313871982e-05, 'a3, a5': -0.001492894993455817, 'a3, a6': 0.0004207287776063034, 'a4, a5': 0.02577417933780345, 'a4, a6': 0.053109368679266494, 'a5, a6': -0.08863852758420511, 'a1, a1': 0.5915205912382033, 'a3, a3': 8.35741872352503e-05, 'a4, a4': 0.020278692612509364, 'a5, a5': 0.20131329168529624, 'a6, a6': 1.1199041229162134}","{'a1, a3': 0.07074, 'a1, a4': -0.9745, 'a1, a5': -0.434, 'a1, a6': -0.4112, 'a3, a4': -0.05878, 'a3, a5': -0.3638, 'a3, a6': 0.04343, 'a4, a5': 0.4043, 'a4, a6': 0.3528, 'a5, a6': -0.1862}",164.796*(a3 + a5*((x0 - 12.5) * 0.00210526)*gauss(a2 + 3*((x0 - 12.5) * 0.00210526)) + a6*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526) + a4)),12.03,0.9969,15,17.09,16.98,1.139,1.132,0.3137,0.32
24,31,x0*(x0 + 21.3)*gauss(2.46 - 15.2*x0) + 10.5*x0*gauss(3*x0 + 0.0224) + 0.085,a3 + a5*x0*gauss(a2 + 3*x0) + x0*(a6 + x0)*gauss(a1*x0 + a4),"{'a1': -15.2, 'a2': 0.0224, 'a3': 0.085, 'a4': 2.46, 'a5': 10.5, 'a6': 21.3}","{'a1': (-15.3006, 0.769, -0.769), 'a2': (0.0224, 0, 0), 'a3': (0.0834143, 0.00914, -0.00914), 'a4': (2.46848, 0.143, -0.143), 'a5': (10.5191, 0.449, -0.449), 'a6': (21.2489, 1.06, -1.06)}","{'a1, a3': 0.0004972002389246601, 'a1, a4': -0.1065008527034714, 'a1, a5': -0.14986865686295975, 'a1, a6': -0.3344705808498065, 'a3, a4': -7.631139796191702e-05, 'a3, a5': -0.001492894980273963, 'a3, a6': 0.00042047142267889775, 'a4, a5': 0.025782811249843204, 'a4, a6': 0.053019900900367, 'a5, a6': -0.08874260408765743, 'a1, a1': 0.5915253689638038, 'a3, a3': 8.357418585321686e-05, 'a4, a4': 0.020307628627637974, 'a5, a5': 0.20131329062457767, 'a6, a6': 1.1200310220873257}","{'a1, a3': 0.07074, 'a1, a4': -0.9685, 'a1, a5': -0.434, 'a1, a6': -0.4103, 'a3, a4': -0.05839, 'a3, a5': -0.3638, 'a3, a6': 0.0434, 'a4, a5': 0.4016, 'a4, a6': 0.3498, 'a5, a6': -0.1865}",164.796*(a3 + a5*((x0 - 12.5) * 0.00210526)*gauss(a2 + 3*((x0 - 12.5) * 0.00210526)) + ((x0 - 12.5) * 0.00210526)*(a6 + ((x0 - 12.5) * 0.00210526))*gauss(a1*((x0 - 12.5) * 0.00210526) + a4)),12.03,0.9969,15,17.19,16.98,1.146,1.132,0.3074,0.32
25,32,3.5*gauss(7.51*(x0 - 1.23)*(2*x0 - 0.342)) + 10.5*gauss(x0 + x0 + x0)*tanh(x0) + 0.085,a3 + a4*gauss((a1 + a5*x0)*(a2 + 2*x0)) + a6*gauss(3*x0)*tanh(x0),"{'a1': -9.2373, 'a2': -0.342, 'a3': 0.085, 'a4': 3.5, 'a5': 7.51, 'a6': 10.5}","{'a1': (-9.32526, 0.339, -0.339), 'a2': (-0.341645, 0.00377, -0.00377), 'a3': (0.0854909, 0.00849, -0.00849), 'a4': (3.61539, 0.163, -0.163), 'a5': (7.51, 0, 0), 'a6': (10.3924, 0.429, -0.429)}","{'a1, a2': -6.66619806897634e-05, 'a1, a3': 0.00015090024884515456, 'a1, a4': -0.022721986056464902, 'a1, a6': -0.0692675420354921, 'a2, a3': -1.5016196879198127e-06, 'a2, a4': -1.9101081159580943e-05, 'a2, a6': 0.00018740217730194765, 'a3, a4': 9.110362187432428e-05, 'a3, a6': -0.0012616953396642938, 'a4, a6': -0.013977349948602847, 'a1, a1': 0.11522081080849536, 'a2, a2': 1.4181128560835926e-05, 'a3, a3': 7.204754163608026e-05, 'a4, a4': 0.026717267774596695, 'a6, a6': 0.18388886553969228}","{'a1, a2': -0.05216, 'a1, a3': 0.05243, 'a1, a4': -0.4112, 'a1, a6': -0.4763, 'a2, a3': -0.04691, 'a2, a4': -0.03108, 'a2, a6': 0.1159, 'a3, a4': 0.06583, 'a3, a6': -0.3464, 'a4, a6': -0.1999}",164.796*(a3 + a4*gauss((a1 + a5*((x0 - 12.5) * 0.00210526))*(a2 + 2*((x0 - 12.5) * 0.00210526))) + a6*gauss(3*((x0 - 12.5) * 0.00210526))*tanh(((x0 - 12.5) * 0.00210526))),7.747,0.9987,15,15.28,14.73,1.018,0.982,0.4318,0.471
26,36,20.3*x0*gauss(2.69 - 16.6*x0) + (10.9*x0*gauss(x0 + x0 + x0)*exp(x0) + x0)*gauss(x0 + x0) + 0.0597,a2 + a5*x0*gauss(a1*x0 + a3) + (a4*x0*gauss(3*x0)*exp(x0) + x0)*gauss(2*x0),"{'a1': -16.6, 'a2': 0.0597, 'a3': 2.69, 'a4': 10.9, 'a5': 20.3}","{'a1': (-16.2404, 0.606, -0.606), 'a2': (0.0606542, 0.00591, -0.00591), 'a3': (2.62806, 0.111, -0.111), 'a4': (10.0408, 0.344, -0.344), 'a5': (20.7786, 0.738, -0.738)}","{'a1, a2': 0.00022743109844358943, 'a1, a3': -0.06552280132472307, 'a1, a4': -0.10404615360476874, 'a1, a5': -0.15750527322341726, 'a2, a3': -3.5839514366765815e-05, 'a2, a4': -0.0005939723115673539, 'a2, a5': 0.0002000091932983482, 'a3, a4': 0.018001330792777805, 'a3, a5': 0.024756727927048455, 'a4, a5': -0.06072461368614437, 'a1, a1': 0.3677154210719365, 'a2, a2': 3.494243079857677e-05, 'a3, a3': 0.012257232974891548, 'a4, a4': 0.11864611765506987, 'a5, a5': 0.5448397024093972}","{'a1, a2': 0.0635, 'a1, a3': -0.9741, 'a1, a4': -0.4991, 'a1, a5': -0.3522, 'a2, a3': -0.05463, 'a2, a4': -0.2922, 'a2, a5': 0.04586, 'a3, a4': 0.4714, 'a3, a5': 0.3022, 'a4, a5': -0.2392}",164.796*(a2 + a5*((x0 - 12.5) * 0.00210526)*gauss(a1*((x0 - 12.5) * 0.00210526) + a3) + (a4*((x0 - 12.5) * 0.00210526)*gauss(3*((x0 - 12.5) * 0.00210526))*exp(((x0 - 12.5) * 0.00210526)) + ((x0 - 12.5) * 0.00210526))*gauss(2*((x0 - 12.5) * 0.00210526))),8.418,0.9985,15,11.3,7.504,0.7533,0.5003,0.731,0.9421
