,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF,p-value
10,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.669584, 0.00103, -0.00103), 'a2': (0.000565992, 6.31e-06, -6.31e-06), 'a3': (0.384834, 0.00134, -0.00134)}","{'a1, a2': -6.463395121994439e-09, 'a1, a3': 1.341030640216447e-06, 'a2, a3': -8.101339978407406e-09, 'a1, a1': 1.0572283627667835e-06, 'a2, a2': 3.976767752781891e-11, 'a3, a3': 1.8075023131422993e-06}","{'a1, a2': -0.9945, 'a1, a3': 0.9716, 'a2, a3': -0.9581}",0.02931,1.0,32,33.78,1.056,0.3814
11,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.669584, 0.00103, -0.00103), 'a2': (0.000565992, 6.31e-06, -6.31e-06), 'a3': (0.384834, 0.00134, -0.00134)}","{'a1, a2': -6.463395121994439e-09, 'a1, a3': 1.341030640216447e-06, 'a2, a3': -8.101339978407406e-09, 'a1, a1': 1.0572283627667835e-06, 'a2, a2': 3.976767752781891e-11, 'a3, a3': 1.8075023131422993e-06}","{'a1, a2': -0.9945, 'a1, a3': 0.9716, 'a2, a3': -0.9581}",0.02931,1.0,32,33.78,1.056,0.3814
12,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.680024, 0.00621, -0.00621), 'a2': (0.000635294, 4.29e-05, -4.29e-05), 'a3': (0.377228, 0.00458, -0.00458), 'a4': (0.950788, 0.0274, -0.0274)}","{'a1, a2': -2.6660946193355025e-07, 'a1, a3': 2.8216241810658335e-05, 'a1, a4': 0.00016801306414184462, 'a2, a3': -1.9478264643595885e-07, 'a2, a4': -1.162402085830468e-06, 'a3, a4': 0.00012062842616929576, 'a1, a1': 3.857613369715255e-05, 'a2, a2': 1.8429643143208677e-09, 'a3, a3': 2.0973917547886757e-05, 'a4, a4': 0.000752768131501252}","{'a1, a2': -1, 'a1, a3': 0.9921, 'a1, a4': 0.9874, 'a2, a3': -0.9914, 'a2, a4': -0.9889, 'a3, a4': 0.9612}",0.0237,1.0,31,30.54,0.985,0.4897
13,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.680024, 0.00621, -0.00621), 'a2': (0.000635294, 4.29e-05, -4.29e-05), 'a3': (0.377228, 0.00458, -0.00458), 'a4': (0.950788, 0.0274, -0.0274)}","{'a1, a2': -2.6660946193355025e-07, 'a1, a3': 2.8216241810658335e-05, 'a1, a4': 0.00016801306414184462, 'a2, a3': -1.9478264643595885e-07, 'a2, a4': -1.162402085830468e-06, 'a3, a4': 0.00012062842616929576, 'a1, a1': 3.857613369715255e-05, 'a2, a2': 1.8429643143208677e-09, 'a3, a3': 2.0973917547886757e-05, 'a4, a4': 0.000752768131501252}","{'a1, a2': -1, 'a1, a3': 0.9921, 'a1, a4': 0.9874, 'a2, a3': -0.9914, 'a2, a4': -0.9889, 'a3, a4': 0.9612}",0.0237,1.0,31,30.54,0.985,0.4897
14,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.680024, 0.00621, -0.00621), 'a2': (0.000635294, 4.29e-05, -4.29e-05), 'a3': (0.377228, 0.00458, -0.00458), 'a4': (0.950788, 0.0274, -0.0274)}","{'a1, a2': -2.6660819037114085e-07, 'a1, a3': 2.821617543895786e-05, 'a1, a4': 0.00016801285852781304, 'a2, a3': -1.94781858760041e-07, 'a2, a4': -1.1623987038947393e-06, 'a3, a4': 0.00012062836038378047, 'a1, a1': 3.857601482911213e-05, 'a2, a2': 1.8429524145356392e-09, 'a3, a3': 2.0973884696884504e-05, 'a4, a4': 0.0007527686452301347}","{'a1, a2': -1, 'a1, a3': 0.9921, 'a1, a4': 0.9874, 'a2, a3': -0.9913, 'a2, a4': -0.9889, 'a3, a4': 0.9612}",0.0237,1.0,31,30.54,0.985,0.4897
15,1.0*(a2**(a1 + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + a4*((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.680024, 0.00621, -0.00621), 'a2': (0.000635294, 4.29e-05, -4.29e-05), 'a3': (0.377228, 0.00458, -0.00458), 'a4': (0.950788, 0.0274, -0.0274)}","{'a1, a2': -2.6660793941944285e-07, 'a1, a3': 2.8216162337635693e-05, 'a1, a4': 0.00016801281789017417, 'a2, a3': -1.9478170322693104e-07, 'a2, a4': -1.1623980356636931e-06, 'a3, a4': 0.00012062834731059505, 'a1, a1': 3.8575991382226084e-05, 'a2, a2': 1.8429500654313467e-09, 'a3, a3': 2.0973878202711968e-05, 'a4, a4': 0.0007527687458505787}","{'a1, a2': -1, 'a1, a3': 0.9921, 'a1, a4': 0.9874, 'a2, a3': -0.9913, 'a2, a4': -0.9889, 'a3, a4': 0.9612}",0.0237,1.0,31,30.54,0.985,0.4897
16,1.0*(a2**(a1 + a4*((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.679, 0, 0), 'a2': (0.000627721, 6.06e-07, -6.06e-07), 'a3': (0.381219, 0.000983, -0.000983), 'a4': (1.03087, 0.0035, -0.0035)}","{'a2, a3': 3.2023612057736235e-10, 'a2, a4': 7.929003975748651e-10, 'a3, a4': 3.2365147886287552e-06, 'a2, a2': 3.676961654714449e-13, 'a3, a3': 9.663605191471658e-07, 'a4, a4': 1.2238492430854328e-05}","{'a2, a3': 0.5376, 'a2, a4': 0.3738, 'a3, a4': 0.9407}",0.03167,1.0,32,35.2,1.1,0.3191
17,1.0*(a2**(a1 + a4*((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.679, 0, 0), 'a2': (0.000627721, 6.06e-07, -6.06e-07), 'a3': (0.381219, 0.000983, -0.000983), 'a4': (1.03087, 0.0035, -0.0035)}","{'a2, a3': 3.2023612057736235e-10, 'a2, a4': 7.929003975748651e-10, 'a3, a4': 3.2365147886287552e-06, 'a2, a2': 3.676961654714449e-13, 'a3, a3': 9.663605191471658e-07, 'a4, a4': 1.2238492430854328e-05}","{'a2, a3': 0.5376, 'a2, a4': 0.3738, 'a3, a4': 0.9407}",0.03167,1.0,32,35.2,1.1,0.3191
18,1.0*(a2**(a1 + a4*((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.679, 0, 0), 'a2': (0.000627721, 6.06e-07, -6.06e-07), 'a3': (0.381219, 0.000983, -0.000983), 'a4': (1.03087, 0.0035, -0.0035)}","{'a2, a3': 3.2023641703661977e-10, 'a2, a4': 7.929010670464016e-10, 'a3, a4': 3.2365202947876796e-06, 'a2, a2': 3.6769619145435207e-13, 'a3, a3': 9.663623445588988e-07, 'a4, a4': 1.2238509387667279e-05}","{'a2, a3': 0.5376, 'a2, a4': 0.3738, 'a3, a4': 0.9407}",0.03167,1.0,32,35.2,1.1,0.3191
19,1.0*(a2**(a1 + a4*((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a3 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.679, 0, 0), 'a2': (0.000627721, 6.06e-07, -6.06e-07), 'a3': (0.381219, 0.000983, -0.000983), 'a4': (1.03087, 0.0035, -0.0035)}","{'a2, a3': 3.2023641703661977e-10, 'a2, a4': 7.929010670464016e-10, 'a3, a4': 3.2365202947876796e-06, 'a2, a2': 3.6769619145435207e-13, 'a3, a3': 9.663623445588988e-07, 'a4, a4': 1.2238509387667279e-05}","{'a2, a3': 0.5376, 'a2, a4': 0.3738, 'a3, a4': 0.9407}",0.03167,1.0,32,35.2,1.1,0.3191
20,1.0*(a2**(a1 + a3*tanh(a5*((x0 - 1568.5) * 0.000145275)) + ((x0 - 1568.5) * 0.000145275) + ((x0 - 1568.5) * 0.000145275)/tanh(a4 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.679, 0, 0), 'a2': (0.00063, 0, 0), 'a3': (0.0180787, 0.00161, -0.00161), 'a4': (0.392088, 0.00343, -0.00343), 'a5': (4.27315, 0.784, -0.784)}","{'a3, a4': 2.8784456094790742e-06, 'a3, a5': 7.047405305671733e-05, 'a4, a5': 0.0023635036819616576, 'a3, a3': 2.6031449636020696e-06, 'a4, a4': 1.178130982461471e-05, 'a5, a5': 0.6153049292230256}","{'a3, a4': 0.5212, 'a3, a5': 0.05583, 'a4, a5': 0.8789}",0.05388,1.0,32,36.43,1.138,0.2701
