,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF,p-value
12,1.0*(a4*(a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a5*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.716, 0, 0), 'a2': (0.00341192, 0.000614, -0.000614), 'a3': (0.0294526, 0.00427, -0.00427), 'a4': (2.56137, 0.329, -0.329), 'a5': (3.8767, 0.149, -0.149)}","{'a2, a3': 2.6171608023149663e-06, 'a2, a4': 0.0002020251545179543, 'a2, a5': 9.128276358517734e-05, 'a3, a4': 0.0014020095890267994, 'a3, a5': 0.0006332183152013588, 'a4, a5': 0.04888797344287871, 'a2, a2': 3.772500260428562e-07, 'a3, a3': 1.8226034762905e-05, 'a4, a4': 0.10819726011034202, 'a5, a5': 0.022096367360828255}","{'a2, a3': 0.9982, 'a2, a4': 1.0, 'a2, a5': 0.9978, 'a3, a4': 0.998, 'a3, a5': 0.9953, 'a4, a5': 0.9973}",0.06573,1.0,38,119.8,3.154,2.077e-10
13,1.0*(a4*(a2*tanh(a3 + ((x0 - 1568.5) * 0.000145275)))**(a1 + a5*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.716, 0, 0), 'a2': (0.0687374, 0.00739, -0.00739), 'a3': (0.136738, 0.00481, -0.00481), 'a4': (5.26359, 0.532, -0.532), 'a5': (4.89074, 0.176, -0.176)}","{'a2, a3': 3.463294224133434e-05, 'a2, a4': 0.00392436606808252, 'a2, a5': 0.0012960260141337355, 'a3, a4': 0.002517430732286826, 'a3, a5': 0.0008314398968566725, 'a4, a5': 0.09334495247495447, 'a2, a2': 5.463394287930686e-05, 'a3, a3': 2.3152938427297273e-05, 'a4, a4': 0.28263818217316516, 'a5, a5': 0.030832732277393044}","{'a2, a3': 0.9743, 'a2, a4': 0.9982, 'a2, a5': 0.9965, 'a3, a4': 0.9838, 'a3, a5': 0.9821, 'a4, a5': 0.9969}",0.0411,1.0,38,63.91,1.682,0.005331
14,1.0*(a4*(a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a5*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.716, 0, 0), 'a2': (0.00341188, 0.000614, -0.000614), 'a3': (0.0294524, 0.00427, -0.00427), 'a4': (2.56135, 0.329, -0.329), 'a5': (3.87669, 0.149, -0.149)}","{'a2, a3': 2.617126218062858e-06, 'a2, a4': 0.0002020225147063021, 'a2, a5': 9.128192924735255e-05, 'a3, a4': 0.0014019957415708987, 'a3, a5': 0.0006332145459792657, 'a4, a5': 0.048887689838281116, 'a2, a2': 3.772438366541116e-07, 'a3, a3': 1.8225851528706365e-05, 'a4, a4': 0.10819620763180196, 'a5, a5': 0.022096325943747074}","{'a2, a3': 0.9982, 'a2, a4': 1.0, 'a2, a5': 0.9978, 'a3, a4': 0.998, 'a3, a5': 0.9953, 'a4, a5': 0.9973}",0.06573,1.0,38,119.8,3.154,2.077e-10
15,1.0*(a4*(a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a5*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.716, 0, 0), 'a2': (0.0034119, 0.000614, -0.000614), 'a3': (0.0294526, 0.00427, -0.00427), 'a4': (2.56137, 0.329, -0.329), 'a5': (3.8767, 0.149, -0.149)}","{'a2, a3': 2.6171495313708887e-06, 'a2, a4': 0.00020202429556071325, 'a2, a5': 9.128249261465341e-05, 'a3, a4': 0.0014020050816734853, 'a3, a5': 0.0006332170915774991, 'a4, a5': 0.048887881711522155, 'a2, a2': 3.7724800997213383e-07, 'a3, a3': 1.822597499545551e-05, 'a4, a4': 0.10819691825953165, 'a5, a5': 0.022096354256153403}","{'a2, a3': 0.9982, 'a2, a4': 1.0, 'a2, a5': 0.9978, 'a3, a4': 0.998, 'a3, a5': 0.9953, 'a4, a5': 0.9973}",0.06575,1.0,38,119.8,3.154,2.077e-10
16,1.0*(a4*(a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a5*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.716, 0, 0), 'a2': (0.00341192, 0.000614, -0.000614), 'a3': (0.0294527, 0.00427, -0.00427), 'a4': (2.56138, 0.329, -0.329), 'a5': (3.8767, 0.149, -0.149)}","{'a2, a3': 2.6171646215354112e-06, 'a2, a4': 0.00020202544537149242, 'a2, a5': 9.128285525818479e-05, 'a3, a4': 0.0014020111149667396, 'a3, a5': 0.0006332187288362552, 'a4, a5': 0.048888004399035706, 'a2, a2': 3.772507091873031e-07, 'a3, a3': 1.8226055016308174e-05, 'a4, a4': 0.10819737572827413, 'a5, a5': 0.022096371731132082}","{'a2, a3': 0.9982, 'a2, a4': 1.0, 'a2, a5': 0.9978, 'a3, a4': 0.998, 'a3, a5': 0.9953, 'a4, a5': 0.9973}",0.06574,1.0,38,119.8,3.154,2.077e-10
17,1.0*(a5*(a3 + (a2 + a4*exp(((x0 - 1568.5) * 0.000145275)))*tanh(((x0 - 1568.5) * 0.000145275)))**(a1 + a6*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.696476, 0.0173, -0.0173), 'a2': (0.000341251, 0, 0), 'a3': (0.000356694, 7.04e-05, -7.04e-05), 'a4': (0.00361974, 0.000642, -0.000642), 'a5': (0.594, 0, 0), 'a6': (2.59306, 0.0641, -0.0641)}","{'a1, a3': -1.2149142635701586e-06, 'a1, a4': -1.105978714573274e-05, 'a1, a6': -0.0011056496358711277, 'a3, a4': 4.5124261511604705e-08, 'a3, a6': 4.512740809798008e-06, 'a4, a6': 4.099861205177932e-05, 'a1, a1': 0.0002976832385609361, 'a3, a3': 4.958835753124921e-09, 'a4, a4': 4.123358468157775e-07, 'a6, a6': 0.0041148706098200795}","{'a1, a3': -0.9975, 'a1, a4': -0.9958, 'a1, a6': -0.997, 'a3, a4': 0.9984, 'a3, a6': 1.0, 'a4, a6': 0.9963}",0.08033,1.0,38,164.1,4.318,1.315e-17
18,1.0*(a5*(a2 + a3*((x0 - 1568.5) * 0.000145275)*(a4 + a6*exp(((x0 - 1568.5) * 0.000145275))))**(a1 + a7*((x0 - 1568.5) * 0.000145275))),"{'a1': (-0.716, 0, 0), 'a2': (0.0235286, 0.00428, -0.00428), 'a3': (0.00401, 0, 0), 'a4': (46.6776, 6.77, -6.77), 'a5': (10.1922, 1.32, -1.32), 'a6': (-12.3868, 2.36, -2.36), 'a7': (6.32329, 0.353, -0.353)}","{'a2, a4': 0.028769206699263257, 'a2, a5': 0.00566343478815335, 'a2, a6': -0.009838659623470171, 'a2, a7': 0.0015118676401788872, 'a4, a5': 8.906730547831907, 'a4, a6': -15.86528332675862, 'a4, a7': 2.3774361773967776, 'a5, a6': -3.04646800817951, 'a5, a7': 0.46796048776181404, 'a6, a7': -0.813005072094765, 'a2, a2': 1.8297817005633666e-05, 'a4, a4': 45.799771830416674, 'a5, a5': 1.752961061189238, 'a6, a6': 5.577799206795062, 'a7, a7': 0.12492897600429455}","{'a2, a4': 0.9929, 'a2, a5': 1, 'a2, a6': -0.974, 'a2, a7': 1, 'a4, a5': 0.9967, 'a4, a6': -0.993, 'a4, a7': 0.9948, 'a5, a6': -0.9779, 'a5, a7': 1, 'a6, a7': -0.9759}",0.02581,1.0,37,38.83,1.05,0.387
19,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a5*((x0 - 1568.5) * 0.000145275))*(a4 + ((x0 - 1568.5) * 0.000145275)**2)),"{'a1': (-0.983474, 0.00826, -0.00826), 'a2': (0.00055, 0, 0), 'a3': (0.0032196, 7.98e-05, -7.98e-05), 'a4': (0.0928954, 0.00575, -0.00575), 'a5': (2.92182, 0.0122, -0.0122)}","{'a1, a3': 6.36679383664974e-07, 'a1, a4': 4.7466014092244545e-05, 'a1, a5': -9.990302513848532e-05, 'a3, a4': 4.4388023418284697e-07, 'a3, a5': -9.591172022467822e-07, 'a4, a5': -6.9544312501735e-05, 'a1, a1': 6.820223612275612e-05, 'a3, a3': 6.374516829274184e-09, 'a4, a4': 3.303813150863778e-05, 'a5, a5': 0.00014926937599863107}","{'a1, a3': 0.9659, 'a1, a4': 0.9994, 'a1, a5': -0.9914, 'a3, a4': 0.9674, 'a3, a5': -0.9852, 'a4, a5': -0.9914}",0.02992,1.0,38,40.85,1.075,0.3465
20,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a6*((x0 - 1568.5) * 0.000145275))*(a5 + ((x0 - 1568.5) * 0.000145275)*(a4 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.928088, 0.0165, -0.0165), 'a2': (0.00055, 0, 0), 'a3': (0.00402393, 0.000113, -0.000113), 'a4': (0.105, 0, 0), 'a5': (0.141017, 0.0175, -0.0175), 'a6': (2.92428, 0.0205, -0.0205)}","{'a1, a3': 1.8169532830964338e-06, 'a1, a5': 0.000289339855608515, 'a1, a6': -0.0003374439331285338, 'a3, a5': 1.923151048666306e-06, 'a3, a6': -2.273324036888913e-06, 'a5, a6': -0.0003568893964896608, 'a1, a1': 0.00027359117006204805, 'a3, a3': 1.2702517361630486e-08, 'a5, a5': 0.000306005741289593, 'a6, a6': 0.00041946978788803374}","{'a1, a3': 0.9745, 'a1, a5': 1, 'a1, a6': -0.9976, 'a3, a5': 0.9725, 'a3, a6': -0.9814, 'a5, a6': -0.9948}",0.03953,1.0,38,49.59,1.305,0.09871
21,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a6*((x0 - 1568.5) * 0.000145275))*(a5 + ((x0 - 1568.5) * 0.000145275)*(a4 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.928088, 0.0165, -0.0165), 'a2': (0.00055, 0, 0), 'a3': (0.00402393, 0.000113, -0.000113), 'a4': (0.105, 0, 0), 'a5': (0.141017, 0.0175, -0.0175), 'a6': (2.92428, 0.0205, -0.0205)}","{'a1, a3': 1.8169532830964338e-06, 'a1, a5': 0.000289339855608515, 'a1, a6': -0.0003374439331285338, 'a3, a5': 1.923151048666306e-06, 'a3, a6': -2.273324036888913e-06, 'a5, a6': -0.0003568893964896608, 'a1, a1': 0.00027359117006204805, 'a3, a3': 1.2702517361630486e-08, 'a5, a5': 0.000306005741289593, 'a6, a6': 0.00041946978788803374}","{'a1, a3': 0.9745, 'a1, a5': 1, 'a1, a6': -0.9976, 'a3, a5': 0.9725, 'a3, a6': -0.9814, 'a5, a6': -0.9948}",0.03953,1.0,38,49.59,1.305,0.09871
22,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a6*((x0 - 1568.5) * 0.000145275))*(a5 + ((x0 - 1568.5) * 0.000145275)*(a4 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.92779, 0.0166, -0.0166), 'a2': (0.000549, 0, 0), 'a3': (0.00401829, 0.000113, -0.000113), 'a4': (0.105, 0, 0), 'a5': (0.141095, 0.0175, -0.0175), 'a6': (2.92349, 0.0205, -0.0205)}","{'a1, a3': 1.820254870499004e-06, 'a1, a5': 0.00029036792698743016, 'a1, a6': -0.0003381912620472694, 'a3, a5': 1.9282078206401596e-06, 'a3, a6': -2.276191752751454e-06, 'a5, a6': -0.00035797053667459424, 'a1, a1': 0.00027434024176390965, 'a3, a3': 1.271207922614932e-08, 'a5, a5': 0.00030734267408121733, 'a6, a6': 0.00042017433913771075}","{'a1, a3': 0.9704, 'a1, a5': 0.9995, 'a1, a6': -0.9938, 'a3, a5': 0.9751, 'a3, a6': -0.9826, 'a5, a6': -0.9978}",0.0396,1.0,38,49.63,1.306,0.09808
23,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a6*((x0 - 1568.5) * 0.000145275))*(a5 + ((x0 - 1568.5) * 0.000145275)*(a4 + ((x0 - 1568.5) * 0.000145275)))),"{'a1': (-0.927491, 0.0166, -0.0166), 'a2': (0.000548, 0, 0), 'a3': (0.00401264, 0.000113, -0.000113), 'a4': (0.105, 0, 0), 'a5': (0.141174, 0.0176, -0.0176), 'a6': (2.9227, 0.0205, -0.0205)}","{'a1, a3': 1.823486038983281e-06, 'a1, a5': 0.00029138665005755935, 'a1, a6': -0.0003389320705254459, 'a3, a5': 1.933176800907846e-06, 'a3, a6': -2.278991767146006e-06, 'a5, a6': -0.00035904255031406446, 'a1, a1': 0.00027508195763625035, 'a3, a3': 1.2721049956828467e-08, 'a5, a5': 0.00030866845898373677, 'a6, a6': 0.00042087423052816975}","{'a1, a3': 0.9721, 'a1, a5': 0.9974, 'a1, a6': -0.996, 'a3, a5': 0.972, 'a3, a6': -0.9838, 'a5, a6': -0.9951}",0.03968,1.0,38,49.67,1.307,0.09745
24,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a7*((x0 - 1568.5) * 0.000145275))*(a5 + a6*((x0 - 1568.5) * 0.000145275)*(((x0 - 1568.5) * 0.000145275)**2)**a4)),"{'a1': (-0.722, 0, 0), 'a2': (0.00055, 0, 0), 'a3': (0.00524, 0, 0), 'a4': (0.495449, 0.0544, -0.0544), 'a5': (0.663293, 0.000733, -0.000733), 'a6': (1.71741, 0.139, -0.139), 'a7': (2.85296, 0.00892, -0.00892)}","{'a4, a5': -1.702826471479708e-05, 'a4, a6': 0.0053333021782659565, 'a4, a7': -0.0004213050661802339, 'a5, a6': 3.83163871161336e-06, 'a5, a7': 4.510004914551983e-06, 'a6, a7': -0.00036984422561136485, 'a4, a4': 0.002959008279452094, 'a5, a5': 5.36740750059816e-07, 'a6, a6': 0.019330882583838797, 'a7, a7': 7.95408718461058e-05}","{'a4, a5': -0.427, 'a4, a6': 0.7053, 'a4, a7': -0.8682, 'a5, a6': 0.03761, 'a5, a7': 0.6898, 'a6, a7': -0.2983}",0.08108,1.0,38,106.1,2.792,2.349e-08
25,1.0*((a2 + a3*((x0 - 1568.5) * 0.000145275))**(a1 + a7*((x0 - 1568.5) * 0.000145275))*(a5 + tanh(a6*((x0 - 1568.5) * 0.000145275)*(((x0 - 1568.5) * 0.000145275)**2)**a4))),"{'a1': (-0.722, 0, 0), 'a2': (0.00055, 0, 0), 'a3': (0.00464521, 7.94e-05, -7.94e-05), 'a4': (0.564596, 0.0218, -0.0218), 'a5': (0.661954, 0.000489, -0.000489), 'a6': (3.72985, 0.341, -0.341), 'a7': (2.91192, 0.00894, -0.00894)}","{'a3, a4': -5.87603321110441e-07, 'a3, a5': 1.6998060497018714e-08, 'a3, a6': -2.4197339074710426e-05, 'a3, a7': -6.056402837116555e-07, 'a4, a5': -4.012409707359451e-06, 'a4, a6': 0.004596385493545716, 'a4, a7': -1.6159595432214655e-05, 'a5, a6': -5.422571836213413e-05, 'a5, a7': -2.8751486036650556e-07, 'a6, a7': 0.002204073338722374, 'a3, a3': 6.297532041741388e-09, 'a4, a4': 0.00047309377567741353, 'a5, a5': 2.394754435082801e-07, 'a6, a6': 0.11657729455208282, 'a7, a7': 7.997663134696696e-05}","{'a3, a4': -0.3395, 'a3, a5': 0.4378, 'a3, a6': -0.8937, 'a3, a7': -0.8532, 'a4, a5': -0.3764, 'a4, a6': 0.6183, 'a4, a7': -0.08292, 'a5, a6': -0.3252, 'a5, a7': -0.06577, 'a6, a7': 0.723}",0.02977,1.0,37,40.49,1.094,0.3189
