,"Parameterized equation, unscaled","Parameters: (best-fit, +1, -1)",Covariance,Correlation,RMSE,R2,NDF,Chi2,Chi2/NDF,p-value
14,a3*tanh(a1*x1*(a2 + x0**2) + a4*x0) + a5 + x1,"{'a1': (-1.03433, 0.101, -0.101), 'a2': (0.646259, 0.0642, -0.0642), 'a3': (2.69503, 0.0756, -0.0756), 'a4': (2.80105, 0.269, -0.269), 'a5': (7.95255, 0.061, -0.061)}","{'a1, a2': 0.0009155393181730676, 'a1, a3': 0.0045715933413684184, 'a1, a4': -0.02657032500769995, 'a1, a5': 0.00015984702836673582, 'a2, a3': 0.000445521488501625, 'a2, a4': -0.00037072934786511636, 'a2, a5': 0.0016408740813535464, 'a3, a4': -0.012415601850215022, 'a3, a5': 0.001145742975954422, 'a4, a5': -0.0005096370552011002, 'a1, a1': 0.01014200682429784, 'a2, a2': 0.004127147992843371, 'a3, a3': 0.00571692198732857, 'a4, a4': 0.0721800699263419, 'a5, a5': 0.003723432031651347}","{'a1, a2': 0.1412, 'a1, a3': 0.5987, 'a1, a4': -0.978, 'a1, a5': 0.02594, 'a2, a3': 0.09179, 'a2, a4': -0.02147, 'a2, a5': 0.419, 'a3, a4': -0.6105, 'a3, a5': 0.2484, 'a4, a5': -0.03106}",0.7702,0.875,223,169.7,0.7608,0.9968
15,a3*tanh(a1*x1*(a2 + x0**2) + a4*x0) + a5 + x1 + gauss(x0),"{'a1': (-1.09505, 0.093, -0.093), 'a2': (0.921486, 0.0575, -0.0575), 'a3': (2.82626, 0.0631, -0.0631), 'a4': (3.19147, 0.266, -0.266), 'a5': (7.58321, 0.0529, -0.0529)}","{'a1, a2': 0.0011188697538703546, 'a1, a3': 0.003269909787875227, 'a1, a4': -0.02438232005623695, 'a1, a5': 0.00023846461735495082, 'a2, a3': 0.00039177097103877846, 'a2, a4': -0.001332971175665412, 'a2, a5': 0.0011125607186412353, 'a3, a4': -0.00953136042691534, 'a3, a5': 0.0009295687308274876, 'a4, a5': -0.00073110173719862, 'a1, a1': 0.008653553299397179, 'a2, a2': 0.0033105165318077045, 'a3, a3': 0.003978454137647648, 'a4, a4': 0.070877107838779, 'a5, a5': 0.0027974974013512334}","{'a1, a2': 0.2092, 'a1, a3': 0.5572, 'a1, a4': -0.9856, 'a1, a5': 0.04847, 'a2, a3': 0.108, 'a2, a4': -0.08715, 'a2, a5': 0.3658, 'a3, a4': -0.5679, 'a3, a5': 0.2785, 'a4, a5': -0.05196}",0.7184,0.8912,223,132.6,0.5945,1.0
16,a3*tanh(a1*x1*(a2 + x0**2) + x0*(a4 + x1)) + a5 + x1 + gauss(x0),"{'a1': (-1.37907, 0.0948, -0.0948), 'a2': (1.07834, 0.0513, -0.0513), 'a3': (2.80609, 0.0589, -0.0589), 'a4': (3.04855, 0.274, -0.274), 'a5': (7.64221, 0.0512, -0.0512)}","{'a1, a2': 0.0017105100621231995, 'a1, a3': 0.002958454850840192, 'a1, a4': -0.02561963997130037, 'a1, a5': 0.0007763188337952374, 'a2, a3': 0.0006036238758212712, 'a2, a4': -0.0031594618601564137, 'a2, a5': 0.0009255565862863349, 'a3, a4': -0.008686579576716006, 'a3, a5': 0.0011095415126405653, 'a4, a5': -0.0022951291885864563, 'a1, a1': 0.008994340289247236, 'a2, a2': 0.0026353213758443443, 'a3, a3': 0.003471972389791737, 'a4, a4': 0.0753299789925891, 'a5, a5': 0.00262228306785976}","{'a1, a2': 0.3517, 'a1, a3': 0.5298, 'a1, a4': -0.9863, 'a1, a5': 0.1599, 'a2, a3': 0.1998, 'a2, a4': -0.2248, 'a2, a5': 0.3524, 'a3, a4': -0.5382, 'a3, a5': 0.3679, 'a4, a5': -0.1636}",0.6643,0.907,223,122.9,0.5512,1.0
17,a1*x0 + a5*tanh(a2*x1*(a3 + x0**2) + a4*x0) + a6 + 2*x1,"{'a1': (-0.68596, 0.042, -0.042), 'a2': (-0.724473, 0.0418, -0.0418), 'a3': (1.16206, 0.059, -0.059), 'a4': (2.2116, 0.119, -0.119), 'a5': (3.63309, 0.0778, -0.0778), 'a6': (7.98883, 0.0582, -0.0582)}","{'a1, a2': -0.0005407289810564767, 'a1, a3': -0.000828392990235048, 'a1, a4': 0.0008761591195911714, 'a1, a5': -0.0019008788107469684, 'a1, a6': -0.0014050937173051019, 'a2, a3': 0.0009113007522944533, 'a2, a4': -0.004805004886237591, 'a2, a5': 0.002226811884141149, 'a2, a6': 0.0004928134744757351, 'a3, a4': -0.0013217336566741943, 'a3, a5': 0.0013419773995932106, 'a3, a6': 0.001759055567624822, 'a4, a5': -0.005934523989329473, 'a4, a6': -0.0008871999727927387, 'a5, a6': 0.002256805259962912, 'a1, a1': 0.0017603340649730774, 'a2, a2': 0.001748519314959077, 'a3, a3': 0.003484770402723413, 'a4, a4': 0.014120885470339128, 'a5, a5': 0.006048587004194282, 'a6, a6': 0.0033892318843389817}","{'a1, a2': -0.308, 'a1, a3': -0.3343, 'a1, a4': 0.1753, 'a1, a5': -0.5817, 'a1, a6': -0.5748, 'a2, a3': 0.3695, 'a2, a4': -0.966, 'a2, a5': 0.6847, 'a2, a6': 0.2026, 'a3, a4': -0.1883, 'a3, a5': 0.2924, 'a3, a6': 0.5123, 'a4, a5': -0.641, 'a4, a6': -0.1281, 'a5, a6': 0.4984}",0.6217,0.9186,222,92.98,0.4188,1.0
18,a2*x0**2 + a5*tanh(a1*x1*(a3 + x0**2) + a4*x0) + a6 + x1 + tanh(x1),"{'a1': (-0.817299, 0.0543, -0.0543), 'a2': (-0.255362, 0.0172, -0.0172), 'a3': (1.28416, 0.0739, -0.0739), 'a4': (2.52454, 0.157, -0.157), 'a5': (3.10092, 0.0619, -0.0619), 'a6': (8.18432, 0.0641, -0.0641)}","{'a1, a2': -0.0002430076440759181, 'a1, a3': 0.0016248524423857133, 'a1, a4': -0.008247861499530804, 'a1, a5': 0.0021608101277245544, 'a1, a6': 0.0007754422075273486, 'a2, a3': -0.0006629714663946102, 'a2, a4': 0.0003070132183849361, 'a2, a5': -0.0003778022756160151, 'a2, a6': -0.0007682086592622759, 'a3, a4': -0.0023845281075310057, 'a3, a5': 0.001358863100494988, 'a3, a6': 0.002824706525482493, 'a4, a5': -0.0060695283121996214, 'a4, a6': -0.0012411639559352016, 'a5, a6': 0.0017567698870768961, 'a1, a1': 0.002952689471088337, 'a2, a2': 0.000297053172032865, 'a3, a3': 0.005465767721367597, 'a4, a4': 0.024646106231997145, 'a5, a5': 0.0038314259210308127, 'a6, a6': 0.004110304640407563}","{'a1, a2': -0.2602, 'a1, a3': 0.4049, 'a1, a4': -0.9675, 'a1, a5': 0.6429, 'a1, a6': 0.2228, 'a2, a3': -0.5216, 'a2, a4': 0.1137, 'a2, a5': -0.3549, 'a2, a6': -0.6968, 'a3, a4': -0.2055, 'a3, a5': 0.2971, 'a3, a6': 0.5963, 'a4, a5': -0.6245, 'a4, a6': -0.1233, 'a5, a6': 0.4428}",0.6157,0.9201,222,90.67,0.4084,1.0
19,a2*x0**2 + a4*x1 + a6*tanh(a1*x1*(a3 + x0**2) + a5*x0) + a7,"{'a1': (-0.791623, 0.0563, -0.0563), 'a2': (-0.279066, 0.0203, -0.0203), 'a3': (1.3825, 0.0931, -0.0931), 'a4': (1.7665, 0.123, -0.123), 'a5': (2.47843, 0.161, -0.161), 'a6': (3.18621, 0.0819, -0.0819), 'a7': (8.28087, 0.075, -0.075)}","{'a1, a2': -0.0004939845452448802, 'a1, a3': 0.002917126393011942, 'a1, a4': 0.0029042633636752672, 'a1, a5': -0.008783841657696889, 'a1, a6': 0.003312608617608052, 'a1, a7': -0.0001523592732302307, 'a2, a3': -0.0012643601765891237, 'a2, a4': -0.0013339664036732717, 'a2, a5': 0.0009689908369055046, 'a2, a6': -0.0009679657682831902, 'a2, a7': -0.0003448788382639504, 'a3, a4': 0.006482815618975017, 'a3, a5': -0.005742805169693424, 'a3, a6': 0.0042816368928185865, 'a3, a7': 0.0008809799800150225, 'a4, a5': -0.007526625857807547, 'a4, a6': 0.006587357267729512, 'a4, a7': -0.004803913183925173, 'a5, a6': -0.009066148562401078, 'a5, a7': 0.0011382990873353258, 'a6, a7': -0.00028702864344154103, 'a1, a1': 0.0031724323973634267, 'a2, a2': 0.00041335051494632456, 'a3, a3': 0.008659738958585066, 'a4, a4': 0.015133017088212514, 'a5, a5': 0.025869850348240707, 'a6, a6': 0.006710052021955777, 'a7, a7': 0.005630133954113466}","{'a1, a2': -0.4322, 'a1, a3': 0.5565, 'a1, a4': 0.4194, 'a1, a5': -0.9691, 'a1, a6': 0.7184, 'a1, a7': -0.03608, 'a2, a3': -0.669, 'a2, a4': -0.5342, 'a2, a5': 0.2965, 'a2, a6': -0.5822, 'a2, a7': -0.2265, 'a3, a4': 0.5661, 'a3, a5': -0.3831, 'a3, a6': 0.5615, 'a3, a7': 0.1262, 'a4, a5': -0.3801, 'a4, a6': 0.6539, 'a4, a7': -0.5207, 'a5, a6': -0.6876, 'a5, a7': 0.09427, 'a6, a7': -0.04673}",0.6057,0.9227,221,88.44,0.4002,1.0
20,a2*x0**2 + a4*x1 + a6*tanh(a1*x1*(a3 + x0**2) + a5*x0) + a7,"{'a1': (-0.791623, 0.0563, -0.0563), 'a2': (-0.279066, 0.0203, -0.0203), 'a3': (1.3825, 0.0931, -0.0931), 'a4': (1.7665, 0.123, -0.123), 'a5': (2.47843, 0.161, -0.161), 'a6': (3.18621, 0.0819, -0.0819), 'a7': (8.28087, 0.075, -0.075)}","{'a1, a2': -0.0004939845451937595, 'a1, a3': 0.002917126392781098, 'a1, a4': 0.0029042633633276885, 'a1, a5': -0.008783841657609403, 'a1, a6': 0.0033126086174509136, 'a1, a7': -0.00015235927311964907, 'a2, a3': -0.0012643601764735697, 'a2, a4': -0.0013339664035287488, 'a2, a5': 0.0009689908368137817, 'a2, a6': -0.0009679657682042384, 'a2, a7': -0.000344878838294133, 'a3, a4': 0.006482815618282826, 'a3, a5': -0.005742805169342376, 'a3, a6': 0.004281636892505524, 'a3, a7': 0.0008809799802148023, 'a4, a5': -0.007526625857120323, 'a4, a6': 0.006587357267290269, 'a4, a7': -0.0048039131836732935, 'a5, a6': -0.009066148562174239, 'a5, a7': 0.0011382990870544023, 'a6, a7': -0.00028702864329022387, 'a1, a1': 0.0031724323972661165, 'a2, a2': 0.0004133505149198472, 'a3, a3': 0.008659738957984213, 'a4, a4': 0.015133017087409632, 'a5, a5': 0.025869850348450796, 'a6, a6': 0.006710052021712685, 'a7, a7': 0.005630133954037567}","{'a1, a2': -0.4322, 'a1, a3': 0.5565, 'a1, a4': 0.4194, 'a1, a5': -0.9691, 'a1, a6': 0.7184, 'a1, a7': -0.03608, 'a2, a3': -0.669, 'a2, a4': -0.5342, 'a2, a5': 0.2965, 'a2, a6': -0.5822, 'a2, a7': -0.2265, 'a3, a4': 0.5661, 'a3, a5': -0.3831, 'a3, a6': 0.5615, 'a3, a7': 0.1262, 'a4, a5': -0.3801, 'a4, a6': 0.6539, 'a4, a7': -0.5207, 'a5, a6': -0.6876, 'a5, a7': 0.09427, 'a6, a7': -0.04673}",0.6057,0.9227,221,88.44,0.4002,1.0
21,a2*x0**2 + a4*x1 + a6*tanh(a1*x1*(a3 + x0**2) + a5*x0) + a7,"{'a1': (-0.791627, 0.0563, -0.0563), 'a2': (-0.279064, 0.0203, -0.0203), 'a3': (1.38249, 0.0931, -0.0931), 'a4': (1.76649, 0.123, -0.123), 'a5': (2.47844, 0.161, -0.161), 'a6': (3.1862, 0.0819, -0.0819), 'a7': (8.28087, 0.075, -0.075)}","{'a1, a2': -0.0004939862720207721, 'a1, a3': 0.002916997653984153, 'a1, a4': 0.002904337990186432, 'a1, a5': -0.008784435621283901, 'a1, a6': 0.0033126510050157914, 'a1, a7': -0.00015241956511753585, 'a2, a3': -0.0012642758595258598, 'a2, a4': -0.0013339422722501457, 'a2, a5': 0.0009689943062622288, 'a2, a6': -0.0009679271052670293, 'a2, a7': -0.00034486188961475834, 'a3, a4': 0.006482504103296723, 'a3, a5': -0.005742541183514398, 'a3, a6': 0.004281298222648804, 'a3, a7': 0.0008808285761052932, 'a4, a5': -0.007526808468188679, 'a4, a6': 0.0065871725396248765, 'a4, a7': -0.0048040052692661615, 'a5, a6': -0.009066236829878477, 'a5, a7': 0.0011384485673520738, 'a6, a7': -0.0002870967025923125, 'a1, a1': 0.0031726541489196397, 'a2, a2': 0.0004133426423962927, 'a3, a3': 0.00865883644425214, 'a4, a4': 0.015132944299488615, 'a5, a5': 0.025871449878633657, 'a6, a6': 0.006709817085287559, 'a7, a7': 0.0056301237953332375}","{'a1, a2': -0.4322, 'a1, a3': 0.5565, 'a1, a4': 0.4194, 'a1, a5': -0.9691, 'a1, a6': 0.7184, 'a1, a7': -0.0361, 'a2, a3': -0.669, 'a2, a4': -0.5342, 'a2, a5': 0.2965, 'a2, a6': -0.5822, 'a2, a7': -0.2265, 'a3, a4': 0.5661, 'a3, a5': -0.3831, 'a3, a6': 0.5615, 'a3, a7': 0.1261, 'a4, a5': -0.3801, 'a4, a6': 0.6539, 'a4, a7': -0.5208, 'a5, a6': -0.6876, 'a5, a7': 0.09428, 'a6, a7': -0.04674}",0.6057,0.9227,221,88.44,0.4002,1.0
22,a2*x0**2 + a4*x1 + a6*tanh(a1*x1*(a3 + x0**2) + a5*x0) + a7,"{'a1': (-0.791627, 0.0563, -0.0563), 'a2': (-0.279064, 0.0203, -0.0203), 'a3': (1.38249, 0.0931, -0.0931), 'a4': (1.76649, 0.123, -0.123), 'a5': (2.47844, 0.161, -0.161), 'a6': (3.1862, 0.0819, -0.0819), 'a7': (8.28087, 0.075, -0.075)}","{'a1, a2': -0.0004939862720405661, 'a1, a3': 0.0029169976543138225, 'a1, a4': 0.00290433799016629, 'a1, a5': -0.0087844356206836, 'a1, a6': 0.0033126510050404913, 'a1, a7': -0.00015241956503395286, 'a2, a3': -0.0012642758596366746, 'a2, a4': -0.0013339422722665442, 'a2, a5': 0.0009689943063433381, 'a2, a6': -0.0009679271053102948, 'a2, a7': -0.0003448618896287391, 'a3, a4': 0.0064825041037749965, 'a3, a5': -0.005742541184430961, 'a3, a6': 0.00428129822317816, 'a3, a7': 0.0008808285763391245, 'a4, a5': -0.0075268084682163965, 'a4, a6': 0.006587172539777187, 'a4, a7': -0.0048040052689181075, 'a5, a6': -0.009066236830021229, 'a5, a7': 0.0011384485671315128, 'a6, a7': -0.00028709670247490017, 'a1, a1': 0.0031726541486970686, 'a2, a2': 0.00041334264239203635, 'a3, a3': 0.008658836445527953, 'a4, a4': 0.015132944299238364, 'a5, a5': 0.025871449876916076, 'a6, a6': 0.00670981708561166, 'a7, a7': 0.005630123795208105}","{'a1, a2': -0.4322, 'a1, a3': 0.5565, 'a1, a4': 0.4194, 'a1, a5': -0.9691, 'a1, a6': 0.7184, 'a1, a7': -0.0361, 'a2, a3': -0.669, 'a2, a4': -0.5342, 'a2, a5': 0.2965, 'a2, a6': -0.5822, 'a2, a7': -0.2265, 'a3, a4': 0.5661, 'a3, a5': -0.3831, 'a3, a6': 0.5615, 'a3, a7': 0.1261, 'a4, a5': -0.3801, 'a4, a6': 0.6539, 'a4, a7': -0.5208, 'a5, a6': -0.6876, 'a5, a7': 0.09428, 'a6, a7': -0.04674}",0.6057,0.9227,221,88.44,0.4002,1.0
23,a1*x0 + a3*x1 + a6*tanh(a2*x1*(a4 + x0**2) + a5*x0) + a7 + x1*tanh(x0 + x1),"{'a1': (-0.864211, 0.0535, -0.0535), 'a2': (-0.724799, 0.0481, -0.0481), 'a3': (1.17285, 0.14, -0.14), 'a4': (1.31808, 0.0775, -0.0775), 'a5': (2.25573, 0.135, -0.135), 'a6': (3.62066, 0.113, -0.113), 'a7': (8.26922, 0.0724, -0.0724)}","{'a1, a2': -0.0014232411998196003, 'a1, a3': -0.0049649560680475975, 'a1, a4': -0.0024974558897622825, 'a1, a5': 0.0032766437771954145, 'a1, a6': -0.004787130765254917, 'a1, a7': 0.0003192863111219924, 'a2, a3': 0.003591930092350963, 'a2, a4': 0.0022322035231011933, 'a2, a5': -0.006356400790226065, 'a2, a6': 0.004241916408201492, 'a2, a7': -0.0006657530961128127, 'a3, a4': 0.006708507473161003, 'a3, a5': -0.009461960443634312, 'a3, a6': 0.012053954153333544, 'a3, a7': -0.00642126733181302, 'a4, a5': -0.004817553064483952, 'a4, a6': 0.005472847112790237, 'a4, a7': -0.00048748617667422915, 'a5, a6': -0.011331150472809921, 'a5, a7': 0.0021036085821076115, 'a6, a7': -0.0017810090162681499, 'a1, a1': 0.0028590180196403866, 'a2, a2': 0.002318208144952795, 'a3, a3': 0.0196453514519063, 'a4, a4': 0.006012230459935899, 'a5, a5': 0.018335620058538962, 'a6, a6': 0.012848747688602844, 'a7, a7': 0.005248808061640568}","{'a1, a2': -0.5531, 'a1, a3': -0.6629, 'a1, a4': -0.6023, 'a1, a5': 0.4537, 'a1, a6': -0.7919, 'a1, a7': 0.08243, 'a2, a3': 0.5334, 'a2, a4': 0.5988, 'a2, a5': -0.9789, 'a2, a6': 0.7804, 'a2, a7': -0.1912, 'a3, a4': 0.6183, 'a3, a5': -0.5006, 'a3, a6': 0.7619, 'a3, a7': -0.6335, 'a4, a5': -0.4605, 'a4, a6': 0.6249, 'a4, a7': -0.08688, 'a5, a6': -0.7428, 'a5, a7': 0.2152, 'a6, a7': -0.2177}",0.6036,0.9232,221,85.15,0.3853,1.0
24,a6*tanh(a1*x1*(a4 + x0**2) + a5*x0) + a7 + 2*x1 - (a2 + a3*x0 + a3*gauss(x0*x1))*tanh(x0),"{'a1': (-0.756477, 0.0416, -0.0416), 'a2': (-0.252416, 0, 0), 'a3': (0.907866, 0.0428, -0.0428), 'a4': (1.43256, 0.0657, -0.0657), 'a5': (2.35824, 0.12, -0.12), 'a6': (3.618, 0.0706, -0.0706), 'a7': (8.48516, 0.0697, -0.0697)}","{'a1, a3': 0.00046188329653846057, 'a1, a4': 0.0011757711755909495, 'a1, a5': -0.0048335430693082675, 'a1, a6': 0.0018718506414310645, 'a1, a7': 0.0007037535001677861, 'a3, a4': 0.0012385548897243428, 'a3, a5': -0.0006410950144073071, 'a3, a6': 0.0017698915586353357, 'a3, a7': 0.0022797645489491245, 'a4, a5': -0.0018279483774723566, 'a4, a6': 0.0017145966441150828, 'a4, a7': 0.0025640209285039696, 'a5, a6': -0.005018940795094637, 'a5, a7': -0.0011831941330149496, 'a6, a7': 0.002996161789496539, 'a1, a1': 0.001730236679279166, 'a3, a3': 0.0018310936164700209, 'a4, a4': 0.0043153588232105, 'a5, a5': 0.014494005764627997, 'a6, a6': 0.004981333621483549, 'a7, a7': 0.004859165748541401}","{'a1, a3': 0.2594, 'a1, a4': 0.4302, 'a1, a5': -0.9683, 'a1, a6': 0.6373, 'a1, a7': 0.2427, 'a3, a4': 0.4405, 'a3, a5': -0.1248, 'a3, a6': 0.5857, 'a3, a7': 0.7642, 'a4, a5': -0.2319, 'a4, a6': 0.3697, 'a4, a7': 0.5599, 'a5, a6': -0.5924, 'a5, a7': -0.1415, 'a6, a7': 0.6089}",0.5847,0.928,222,82.86,0.3732,1.0
25,a6*tanh(a1*x1*(a4 + x0**2) + a5*x0) + a7 + 2*x1 - (a2 + a3*x0 + a3*gauss(x0*x1))*tanh(x0),"{'a1': (-0.756474, 0.0416, -0.0416), 'a2': (-0.24592, 0, 0), 'a3': (0.904929, 0.0428, -0.0428), 'a4': (1.43051, 0.0656, -0.0656), 'a5': (2.35782, 0.12, -0.12), 'a6': (3.61913, 0.0706, -0.0706), 'a7': (8.48323, 0.0697, -0.0697)}","{'a1, a3': 0.00046150616752100334, 'a1, a4': 0.0011723864533369536, 'a1, a5': -0.004827047016298538, 'a1, a6': 0.0018708830046674633, 'a1, a7': 0.0007026848052123419, 'a3, a4': 0.0012371465125216078, 'a3, a5': -0.0006402039075713262, 'a3, a6': 0.0017695567671061362, 'a3, a7': 0.0022791214756553956, 'a4, a5': -0.0018216530352712346, 'a4, a6': 0.001711917878762321, 'a4, a7': 0.0025604859983890532, 'a5, a6': -0.005015669461173687, 'a5, a7': -0.0011805168688894649, 'a6, a7': 0.002994247370276779, 'a1, a1': 0.0017280551590852463, 'a3, a3': 0.001830894275053867, 'a4, a4': 0.004302624074144447, 'a5, a5': 0.014473006730011543, 'a6, a6': 0.004980734344193129, 'a7, a7': 0.004856988967663828}","{'a1, a3': 0.2592, 'a1, a4': 0.4296, 'a1, a5': -0.967, 'a1, a6': 0.637, 'a1, a7': 0.2423, 'a3, a4': 0.4406, 'a3, a5': -0.1247, 'a3, a6': 0.5856, 'a3, a7': 0.764, 'a4, a5': -0.2314, 'a4, a6': 0.3696, 'a4, a7': 0.56, 'a5, a6': -0.592, 'a5, a7': -0.1411, 'a6, a7': 0.6085}",0.5847,0.9279,222,82.83,0.3731,1.0
